iter	Passed	Remaining
0	2	432
1	4	420
2	6	419
3	8	419
4	10	410
5	12	404
6	13	380
7	15	372
8	17	361
9	18	350
10	20	345
11	21	342
12	23	339
13	25	341
14	27	340
15	29	343
16	32	345
17	33	342
18	35	337
19	37	335
20	38	331
21	40	331
22	42	327
23	44	323
24	45	318
25	46	314
26	48	310
27	50	309
28	52	308
29	55	311
30	57	313
31	59	313
32	61	310
33	63	308
34	64	305
35	66	302
36	68	300
37	69	298
38	71	296
39	74	296
40	76	296
41	79	297
42	80	295
43	83	294
44	84	292
45	86	289
46	87	286
47	89	282
48	90	280
49	92	277
50	94	275
51	96	273
52	98	271
53	100	271
54	102	268
55	103	267
56	106	266
57	107	263
58	109	261
59	111	259
60	112	257
61	114	254
62	116	253
63	118	250
64	119	248
65	121	246
66	122	243
67	124	242
68	127	241
69	129	239
70	130	237
71	132	235
72	134	233
73	135	231
74	137	229
75	139	227
76	141	225
77	142	223
78	144	221
79	145	218
80	147	216
81	148	214
82	150	211
83	151	209
84	153	208
85	155	206
86	173	225
87	175	222
88	176	220
89	177	217
90	178	214
91	180	211
92	181	208
93	182	206
94	184	203
95	185	201
96	187	198
97	188	196
98	189	193
99	190	190
100	192	188
101	193	185
102	194	183
103	196	181
104	197	178
105	198	176
106	200	173
107	201	171
108	202	169
109	204	166
110	205	164
111	206	162
112	207	160
113	209	157
114	210	155
115	211	153
116	212	150
117	214	148
118	215	146
119	216	144
120	218	142
121	219	140
122	220	138
123	221	136
124	223	133
125	224	131
126	225	129
127	226	127
128	228	125
129	229	123
130	230	121
131	232	119
132	233	117
133	234	115
134	236	113
135	237	111
136	238	109
137	239	107
138	240	105
139	242	103
140	243	101
141	244	100
142	246	98
143	247	96
144	248	94
145	250	92
146	251	90
147	252	88
148	253	86
149	254	84
150	256	83
151	257	81
152	258	79
153	260	77
154	262	76
155	263	74
156	265	72
157	266	70
158	267	69
159	269	67
160	270	65
161	271	63
162	272	61
163	274	60
164	275	58
165	277	56
166	278	55
167	279	53
168	281	51
169	282	49
170	284	48
171	285	46
172	286	44
173	287	43
174	289	41
175	290	39
176	291	37
177	293	36
178	294	34
179	295	32
180	296	31
181	298	29
182	299	27
183	300	26
184	301	24
185	303	22
186	304	21
187	306	19
188	307	17
189	309	16
190	310	14
191	311	12
192	312	11
193	314	9
194	315	8
195	316	6
196	318	4
197	319	3
198	321	1
199	322	0
