V1,V6,V10,V12,V13,V14,V15,label
56,401.0,20,26.0,1,-1.0,0,0
37,2642.0,25,591.0,3,-1.0,0,0
64,588.0,16,574.0,1,179.0,3,1
45,396.0,17,266.0,4,-1.0,0,0
32,1271.0,20,51.0,1,-1.0,0,0
44,532.0,16,141.0,2,-1.0,0,0
44,624.0,14,552.0,2,-1.0,0,1
34,899.0,9,627.0,2,141.0,7,0
24,53.0,28,226.0,1,-1.0,0,0
57,363.0,25,195.0,6,-1.0,0,0
39,0.0,22,864.0,4,-1.0,0,1
32,781.0,20,305.0,1,-1.0,0,0
57,2038.0,9,628.0,1,182.0,2,1
43,3049.0,28,383.0,2,-1.0,0,0
56,72.0,7,263.0,1,357.0,4,0
32,438.0,21,318.0,5,-1.0,0,0
40,2854.0,18,354.0,2,169.0,1,0
47,290.0,22,1352.0,2,-1.0,0,1
31,2929.0,20,237.0,3,150.0,3,0
29,887.0,4,343.0,1,-1.0,0,0
55,387.0,6,918.0,1,-1.0,0,1
30,536.0,15,244.0,1,105.0,1,1
27,372.0,25,728.0,2,-1.0,0,1
49,0.0,3,51.0,9,-1.0,0,0
39,2939.0,6,608.0,1,99.0,3,1
37,189.0,16,162.0,2,-1.0,0,1
38,238.0,4,139.0,1,92.0,3,1
33,752.0,11,104.0,4,-1.0,0,0
52,-779.0,17,709.0,1,-1.0,0,1
55,19.0,16,56.0,3,-1.0,0,0
60,12039.0,12,261.0,1,187.0,1,1
37,141.0,6,848.0,1,364.0,3,1
39,0.0,20,286.0,4,-1.0,0,0
54,2206.0,11,449.0,1,91.0,3,1
38,2454.0,14,373.0,2,-1.0,0,0
33,543.0,7,244.0,2,-1.0,0,0
47,2306.0,6,239.0,4,-1.0,0,1
59,0.0,5,812.0,1,-1.0,0,1
58,1257.0,5,1536.0,1,-1.0,0,1
36,107.0,31,134.0,2,-1.0,0,0
50,71.0,6,678.0,1,-1.0,0,0
27,1187.0,26,232.0,1,101.0,1,1
60,2408.0,20,102.0,4,-1.0,0,0
57,9103.0,20,1098.0,2,-1.0,0,1
30,277.0,8,166.0,1,42.0,1,0
44,712.0,6,740.0,3,-1.0,0,1
48,1949.0,13,683.0,2,-1.0,0,1
52,1416.0,10,436.0,2,182.0,1,1
46,624.0,18,420.0,1,276.0,1,1
36,1177.0,15,330.0,1,311.0,4,1
34,1076.0,8,70.0,2,-1.0,0,0
32,2016.0,13,232.0,1,348.0,1,1
25,-559.0,14,189.0,3,-1.0,0,0
49,-471.0,20,77.0,3,185.0,7,0
25,715.0,26,217.0,1,-1.0,0,0
30,399.0,20,282.0,2,-1.0,0,0
36,72.0,8,80.0,1,-1.0,0,0
32,252.0,25,148.0,4,-1.0,0,0
60,979.0,15,295.0,3,347.0,1,1
70,2575.0,20,216.0,2,-1.0,0,1
35,366.0,29,480.0,9,-1.0,0,0
54,2693.0,22,222.0,1,188.0,6,1
28,113.0,13,204.0,3,105.0,1,1
41,1020.0,19,882.0,1,-1.0,0,1
35,31.0,19,131.0,3,133.0,3,0
31,-309.0,26,269.0,1,-1.0,0,0
