lineNo,assgNo,prevFixDur,firstfixDur,firstPassFixDur,nextFixDur,firstSaccLen,lastSaccLen,prevFixPos,landingPos,leavingPos,totalFixDur,meanFixDur,regressLen,regressDur,pupilDiamMax,pupilDiamLag,timePrtctg,titleNo,wordNo,label
3703.0,116.0,199.0,239.0,477.0,139.0,258.0484,749.3659,164.5509,118.9033,225.3908,477.0,159.0,0.0,0.0,0.3121,0.2776,0.1177,3,5,0
2889.0,88.0,0.0,179.0,179.0,199.0,0.0,172.0966,0.0,2.0616,15.2069,179.0,179.0,0.0,0.0,-0.3803,0.6157,0.0278,3,2,0
9387.0,291.0,139.0,119.0,119.0,219.0,252.5124,275.5367,205.4069,60.7824,55.1113,119.0,119.0,0.0,0.0,0.2122,0.2497,0.0186,3,3,1
3498.0,108.0,199.0,179.0,179.0,119.0,488.5064,772.2288,444.1362,41.9076,51.2957,179.0,179.0,0.0,0.0,0.2548,0.1708,0.0344,1,7,1
5520.0,165.0,139.0,179.0,318.0,179.0,115.9062,282.0217,178.2274,64.9038,36.5274,318.0,159.0,0.0,318.0,0.053,0.0445,0.0332,5,1,0
9453.0,293.0,219.0,80.0,80.0,298.0,166.4121,81.6241,164.4536,10.5119,18.0278,80.0,80.0,536.0,595.0,0.0861,0.1271,0.0056,4,4,1
158.0,5.0,119.0,80.0,80.0,278.0,248.0952,62.0987,333.2567,97.8621,94.4788,80.0,80.0,0.0,0.0,0.0915,0.1855,0.0071,7,1,1
10045.0,307.0,119.0,139.0,139.0,80.0,224.821,240.7514,208.0385,21.7083,12.0416,139.0,139.0,0.0,0.0,0.0792,0.1477,0.027,4,4,1
2846.0,86.0,159.0,179.0,179.0,219.0,238.0189,398.0707,340.2881,96.9665,53.6493,379.0,189.5,239.0,379.0,0.7577,2.5372,0.043,8,4,0
2668.0,80.0,179.0,638.0,638.0,678.0,514.7487,0.0,556.4351,33.6155,26.0864,638.0,638.0,0.0,638.0,2.9875,2.9875,0.178,2,2,1
9780.0,301.0,199.0,159.0,159.0,139.0,621.9518,100.2622,691.191,62.508,66.0473,159.0,159.0,0.0,0.0,0.279,0.289,0.0183,8,2,1
7800.0,240.0,139.0,179.0,179.0,179.0,90.1138,264.5397,84.5281,79.5063,69.8713,179.0,179.0,0.0,0.0,0.1316,0.1201,0.0171,10,1,1
6593.0,195.0,119.0,99.0,99.0,139.0,237.1708,97.2947,290.1103,59.0445,66.1532,99.0,99.0,0.0,99.0,0.2061,0.3931,0.0225,8,1,1
5929.0,176.0,159.0,199.0,279.0,537.0,124.901,110.269,77.0065,54.4518,33.3804,279.0,139.5,676.0,0.0,0.0526,0.0366,0.0363,5,5,0
5284.0,159.0,159.0,119.0,278.0,179.0,130.0,412.9558,38.2884,110.5226,33.9411,278.0,139.0,0.0,0.0,-0.0097,0.1433,0.0203,5,5,0
8458.0,266.0,179.0,80.0,80.0,139.0,317.2389,122.2804,413.8067,102.8227,102.2008,80.0,80.0,0.0,0.0,0.2122,0.5202,0.0146,8,1,1
9282.0,289.0,179.0,179.0,179.0,80.0,208.9049,430.0291,152.1611,57.1358,53.6027,179.0,179.0,0.0,358.0,0.2092,0.1557,0.0086,5,6,1
1894.0,59.0,119.0,99.0,99.0,80.0,195.829,233.0048,165.469,33.5596,36.7764,99.0,99.0,0.0,318.0,0.1034,0.2229,0.0304,2,2,0
8867.0,280.0,179.0,238.0,238.0,100.0,290.0108,382.0393,246.5198,45.3542,21.9203,238.0,238.0,0.0,0.0,0.1162,0.1852,0.0302,2,4,0
5952.0,177.0,358.0,159.0,159.0,199.0,58.1055,98.5013,94.1913,15.0083,21.4767,159.0,159.0,0.0,159.0,0.1471,0.1711,0.0248,3,2,0
4299.0,135.0,238.0,199.0,199.0,219.0,244.2048,218.0573,221.5784,22.6108,24.4591,199.0,199.0,0.0,0.0,0.27,0.27,0.0123,9,4,1
8018.0,249.0,199.0,219.0,219.0,139.0,108.2647,93.6336,76.243,42.8019,36.3352,219.0,219.0,0.0,119.0,0.2813,0.1918,0.0393,6,1,0
186.0,5.0,179.0,99.0,99.0,139.0,131.0506,721.5028,92.2659,42.6878,42.003,99.0,99.0,497.0,99.0,-0.055,0.225,0.0088,2,7,1
8561.0,271.0,119.0,139.0,238.0,159.0,306.9405,165.7264,387.439,86.7078,46.2709,238.0,119.0,0.0,0.0,0.3122,0.3302,0.0422,5,1,1
6886.0,207.0,119.0,139.0,139.0,139.0,144.5415,103.5193,168.0744,37.0473,22.5,139.0,139.0,0.0,0.0,-0.0551,0.4069,0.0469,8,4,0
7724.0,238.0,219.0,179.0,179.0,159.0,654.3764,474.0643,591.8691,63.7672,85.1719,179.0,179.0,0.0,0.0,0.1816,0.3266,0.041,1,6,1
6703.0,200.0,99.0,99.0,99.0,139.0,321.3973,300.5004,389.3289,79.1865,63.1051,99.0,99.0,338.0,99.0,-0.0029,0.2751,0.0219,4,6,0
5614.0,167.0,437.0,159.0,159.0,497.0,114.2147,419.1718,61.9839,58.2795,66.4116,139.0,139.0,596.0,715.0,0.033,0.114,0.0093,1,2,0
9650.0,297.0,99.0,80.0,80.0,99.0,80.0656,293.3586,152.0526,112.0402,104.9011,80.0,80.0,0.0,0.0,0.1016,0.1476,0.0155,7,2,0
716.0,22.0,199.0,99.0,218.0,199.0,198.0227,138.5577,93.0,109.5,106.5751,218.0,109.0,0.0,872.0,0.0696,0.0696,0.0131,5,4,1
8394.0,264.0,159.0,99.0,99.0,179.0,59.1354,99.3227,85.4283,53.584,57.0022,99.0,99.0,1473.0,0.0,0.0987,0.1682,0.0223,4,1,1
5455.0,164.0,139.0,139.0,139.0,119.0,112.0179,133.9039,66.1287,58.6366,67.3238,139.0,139.0,0.0,0.0,0.1457,0.0417,0.0118,4,4,1
1371.0,43.0,139.0,139.0,139.0,119.0,240.9502,195.5019,276.5375,50.8847,43.4425,139.0,139.0,855.0,0.0,0.0187,0.0467,0.0115,3,4,1
9946.0,305.0,139.0,100.0,100.0,139.0,1050.0501,1505.7161,244.1311,1258.4138,1261.9002,100.0,100.0,0.0,0.0,0.1555,0.1175,0.0162,10,4,1
1726.0,54.0,179.0,179.0,179.0,199.0,151.6344,36.0555,145.6709,1.118,21.4709,179.0,179.0,418.0,617.0,0.1464,0.2758,0.0295,4,5,0
6778.0,203.0,119.0,119.0,119.0,139.0,516.8426,758.9193,493.4471,40.5123,34.6013,119.0,119.0,0.0,0.0,0.0499,0.2184,0.0122,5,6,1
10785.0,332.0,139.0,159.0,159.0,99.0,163.5008,84.5931,200.8233,58.5235,47.9505,159.0,159.0,0.0,0.0,0.0205,0.1515,0.0354,6,1,1
7121.0,217.0,0.0,99.0,99.0,99.0,0.0,41.7612,0.0,85.2599,86.1931,99.0,99.0,0.0,0.0,0.0871,0.2151,0.0258,1,1,1
3155.0,96.0,159.0,339.0,339.0,279.0,73.7445,82.4697,98.387,48.7468,41.0122,339.0,339.0,0.0,0.0,1.1346,2.2261,0.0436,7,1,1
5072.0,154.0,219.0,159.0,159.0,99.0,199.0157,134.0755,137.2334,57.4913,58.1227,159.0,159.0,0.0,0.0,0.1563,0.2253,0.0184,5,2,1
8764.0,277.0,258.0,199.0,199.0,139.0,651.6504,205.7942,754.1631,110.0727,111.0405,139.0,139.0,0.0,199.0,0.1963,0.1658,0.0147,10,1,1
